sampleRate	unanimous total	unanimous%	unanimousAvgLoss	defaultApproxTotal	defaultApprox%	defaultApproxAvgLoss	landslideTotal	landslide%	landslideApproxAvgLoss	ambiguousTotal	ambiguous%	ambiguousAvgLoss	noVotesTotal	noVotes%	noVotesAvgLoss
1.00E-04	708	0	0.012894253	7391	0	0.090056362	0	NaN	NaN	0	NaN	NaN	1	1	0
2.00E-04	1135	0	0.009183033	6963	0	0.073950279	0	NaN	NaN	0	NaN	NaN	2	1	0
3.00E-04	1842	0	0.01149996	6255	0	0.069519431	0	NaN	NaN	0	NaN	NaN	3	1	0
4.00E-04	2316	0	0.011628184	5780	0	0.061799332	0	NaN	NaN	0	NaN	NaN	4	1	0
5.00E-04	2663	0	0.010669968	5407	0	0.056104042	26	0	0.012601049	0	NaN	NaN	4	1	0
6.00E-04	2643	0	0.008690649	5444	0	0.048964474	9	0	0.006455471	0	NaN	NaN	4	1	0
7.00E-04	2888	0	0.01110322	5060	0	0.04336057	147	0	0.002223991	0	NaN	NaN	5	1	0
8.00E-04	3168	0	0.009489421	4768	0	0.041495402	158	0	0.004004361	0	NaN	NaN	6	1	0
9.00E-04	3346	0	0.009647254	4378	0	0.037088148	369	0	0.003720384	0	NaN	NaN	7	1	0
0.001	3710	0	0.01214695	3736	0	0.035304667	646	0	0.007889776	0	NaN	NaN	8	1	0
0.002	4426	0	0.009079271	1205	0	0.027071205	2455	0	0.010154594	0	NaN	NaN	14	1	0
0.003	2961	0	0.010253696	223	0	0.030893429	4896	0	0.009621906	0	NaN	NaN	20	1	0
0.004	2200	0	0.005282019	0	NaN	NaN	5876	0	0.007742494	0	NaN	NaN	24	1	0
0.005	2526	0	0.004820071	0	NaN	NaN	5554	0	0.009315567	0	NaN	NaN	20	1	0
0.006	2094	0	0.005874987	0	NaN	NaN	5985	0	0.008283165	0	NaN	NaN	21	1	0
0.007	2295	0	0.007078479	0	NaN	NaN	5787	0	0.008916024	0	NaN	NaN	18	1	0
0.008	2406	0	0.005430541	0	NaN	NaN	5677	0	0.008119212	0	NaN	NaN	17	1	0
0.009	1614	0	0.004435518	0	NaN	NaN	6467	0	0.008910571	0	NaN	NaN	19	1	0
0.01	2392	0	0.004442532	0	NaN	NaN	5692	0	0.007497628	0	NaN	NaN	16	1	0
1.00E-04	708	0	0.012894253	7391	0	0.090056362	0	NaN	NaN	0	NaN	NaN	1	1	0
2.00E-04	1135	0	0.009183033	6963	0	0.073950279	0	NaN	NaN	0	NaN	NaN	2	1	0
3.00E-04	1842	0	0.01149996	6255	0	0.069519431	0	NaN	NaN	0	NaN	NaN	3	1	0
4.00E-04	2316	0	0.011628184	5780	0	0.061799332	0	NaN	NaN	0	NaN	NaN	4	1	0
5.00E-04	2752	0	0.01054564	5344	0	0.046561821	0	NaN	NaN	0	NaN	NaN	4	1	0
6.00E-04	2463	0	0.008175465	5633	0	0.047947516	0	NaN	NaN	0	NaN	NaN	4	1	0
7.00E-04	3271	0	0.011691721	4677	0	0.042729569	147	0	0.002223991	0	NaN	NaN	5	1	0
8.00E-04	3282	0	0.010148879	4654	0	0.039459614	158	0	0.004004361	0	NaN	NaN	6	1	0
9.00E-04	3783	0	0.010926565	4050	0	0.038326385	260	0	0.006808868	0	NaN	NaN	7	1	0
0.001	3309	0	0.011459919	4111	0	0.040597469	672	0	0.008357673	0	NaN	NaN	8	1	0
0.002	4885	0	0.009371082	833	0	0.02509582	2368	0	0.009768115	0	NaN	NaN	14	1	0
