sampleRate	unanimous total	unanimous%	unanimousAvgLoss	defaultApproxTotal	defaultApprox%	defaultApproxAvgLoss	landslideTotal	landslide%	landslideApproxAvgLoss	ambiguousTotal	ambiguous%	ambiguousAvgLoss	noVotesTotal	noVotes%	noVotesAvgLoss	initialSamplesTotal	initialSamples%	initialSamplesAvgLoss
0.0020	4373	0.2442259318545621	0.012351297470302901	1093	0.011893870082342177	0.027337302249236042	2617	0.22009935040122278	0.01162359870144602	0	NaN	NaN	14	1.0	0.0	3	1.0	0.0
0.0030	3040	0.33848684210526314	0.00795584242359588	18	0.0	0.021387977712176466	5017	0.2959936216862667	0.009178421596744873	0	NaN	NaN	20	1.0	0.0	5	1.0	0.0
0.0040	1558	0.5295250320924262	0.004428449139634308	0	NaN	NaN	6511	0.35509138381201044	0.007288599215473909	0	NaN	NaN	25	1.0	0.0	6	1.0	0.0
0.0050	1993	0.4721525338685399	0.005027163524036428	0	NaN	NaN	6077	0.29257857495474743	0.009338049441766824	0	NaN	NaN	22	1.0	0.0	8	1.0	0.0
0.0060	2578	0.2878200155159038	0.008496332662057618	0	NaN	NaN	5494	0.3103385511467055	0.008752705456946215	0	NaN	NaN	19	1.0	0.0	9	1.0	0.0
0.0070	2114	0.41674550614947964	0.006699096346236887	0	NaN	NaN	5954	0.2547866980181391	0.009252084788933797	0	NaN	NaN	21	1.0	0.0	11	1.0	0.0
0.0080	1661	0.477423239012643	0.004840403571676749	0	NaN	NaN	6404	0.34775140537164273	0.007866371151937408	0	NaN	NaN	22	1.0	0.0	13	1.0	0.0
0.0090	1205	0.5219917012448133	0.004541646417795633	0	NaN	NaN	6861	0.3075353447019385	0.008100738117544585	0	NaN	NaN	20	1.0	0.0	14	1.0	0.0
0.01	1812	0.3195364238410596	0.008199855701990706	0	NaN	NaN	6257	0.2803260348409781	0.008730710160994207	0	NaN	NaN	15	1.0	0.0	16	1.0	0.0
1.0E-4	708	0.1751412429378531	0.012894252510195884	7391	0.0	0.09005636199372512	0	NaN	NaN	0	NaN	NaN	1	1.0	0.0	0	NaN	NaN
2.0E-4	1135	0.307488986784141	0.009183032828118167	6963	0.0	0.073950278851793	0	NaN	NaN	0	NaN	NaN	2	1.0	0.0	0	NaN	NaN
3.0E-4	1842	0.250814332247557	0.011499960411820945	6255	0.0	0.06951943063194412	0	NaN	NaN	0	NaN	NaN	3	1.0	0.0	0	NaN	NaN
4.0E-4	2316	0.22279792746113988	0.011628184208233082	5780	0.0	0.06179933248617758	0	NaN	NaN	0	NaN	NaN	4	1.0	0.0	0	NaN	NaN
5.0E-4	2563	0.24346468981662114	0.01004665149634924	5532	0.0	0.04619655746677286	0	NaN	NaN	0	NaN	NaN	4	1.0	0.0	1	1.0	0.0
6.0E-4	2660	0.20037593984962407	0.010698462355170253	5435	0.0	0.048519474396874436	0	NaN	NaN	0	NaN	NaN	4	1.0	0.0	1	1.0	0.0
7.0E-4	2720	0.2400735294117647	0.010649916324620525	5205	0.005763688760806916	0.04213229902784266	169	0.5976331360946746	0.0018868534509112783	0	NaN	NaN	5	1.0	0.0	1	1.0	0.0
8.0E-4	3598	0.2131739855475264	0.011443751626487152	4326	2.311604253351826E-4	0.0427406039074695	169	0.4378698224852071	0.003013503910538974	0	NaN	NaN	6	1.0	0.0	1	1.0	0.0
9.0E-4	3495	0.25894134477825465	0.01049769685174692	4193	0.0	0.037362552344376264	404	0.1905940594059406	0.011226390907451748	0	NaN	NaN	7	1.0	0.0	1	1.0	0.0
0.0010	4069	0.20275251904644875	0.012757711267056045	3556	2.8121484814398203E-4	0.041542595111882255	466	0.33905579399141633	0.00805199773369633	0	NaN	NaN	8	1.0	0.0	1	1.0	0.0
0.0020	4688	0.2598122866894198	0.010913959592945575	1023	0.01270772238514174	0.026565812087966118	2372	0.29047217537942666	0.008760165920446976	0	NaN	NaN	14	1.0	0.0	3	1.0	0.0
0.0030	2789	0.3538902832556472	0.007633220975720382	12	0.08333333333333333	0.02720214407218706	5274	0.3079256731133864	0.00960688151429243	0	NaN	NaN	20	1.0	0.0	5	1.0	0.0
0.0040	1997	0.48172258387581374	0.005329094024510665	0	NaN	NaN	6073	0.37790219002140624	0.006180126752434694	0	NaN	NaN	24	1.0	0.0	6	1.0	0.0
0.0050	1725	0.4220289855072464	0.004855007390941199	0	NaN	NaN	6345	0.3003940110323089	0.008553350295615112	0	NaN	NaN	22	1.0	0.0	8	1.0	0.0
0.0060	2220	0.42882882882882883	0.0056863879083905765	0	NaN	NaN	5850	0.28341880341880343	0.00970341840777819	0	NaN	NaN	21	1.0	0.0	9	1.0	0.0
0.0070	1865	0.4959785522788204	0.005597158327587305	0	NaN	NaN	6204	0.2901353965183752	0.008426871185507143	0	NaN	NaN	20	1.0	0.0	11	1.0	0.0
0.0080	2090	0.3559808612440191	0.006750139061582884	0	NaN	NaN	5980	0.2946488294314381	0.008868367965694532	0	NaN	NaN	17	1.0	0.0	13	1.0	0.0
0.0090	2153	0.3790060380863911	0.007222951456313788	0	NaN	NaN	5917	0.3501774547912794	0.007410378423444975	0	NaN	NaN	16	1.0	0.0	14	1.0	0.0
0.01	2021	0.5319148936170213	0.003999962922243293	0	NaN	NaN	6046	0.2795236520013232	0.008747072921139352	0	NaN	NaN	17	1.0	0.0	16	1.0	0.0
1.0E-4	708	0.1751412429378531	0.012894252510195884	7391	0.0	0.09005636199372512	0	NaN	NaN	0	NaN	NaN	1	1.0	0.0	0	NaN	NaN
2.0E-4	1135	0.307488986784141	0.009183032828118167	6963	0.0	0.073950278851793	0	NaN	NaN	0	NaN	NaN	2	1.0	0.0	0	NaN	NaN
3.0E-4	1842	0.250814332247557	0.011499960411820945	6255	0.0	0.06951943063194412	0	NaN	NaN	0	NaN	NaN	3	1.0	0.0	0	NaN	NaN
4.0E-4	2316	0.22279792746113988	0.011628184208233082	5780	0.0	0.06179933248617758	0	NaN	NaN	0	NaN	NaN	4	1.0	0.0	0	NaN	NaN
5.0E-4	2960	0.22027027027027027	0.011472323974911856	5103	0.0	0.056527695380348575	32	0.0	0.017405522305995885	0	NaN	NaN	4	1.0	0.0	1	1.0	0.0
6.0E-4	2661	0.1984216459977452	0.011585975596501048	5434	0.0	0.04804558623316968	0	NaN	NaN	0	NaN	NaN	4	1.0	0.0	1	1.0	0.0
7.0E-4	3167	0.2352383959583202	0.011239975775590582	4860	0.0	0.04721771312783521	67	0.0	0.012594342308599227	0	NaN	NaN	5	1.0	0.0	1	1.0	0.0
8.0E-4	3010	0.29601328903654484	0.009077655391289845	4795	0.012095933263816475	0.04150567450942634	288	0.5694444444444444	0.002950499345388256	0	NaN	NaN	6	1.0	0.0	1	1.0	0.0
9.0E-4	3605	0.22801664355062412	0.010979409402483422	4137	2.4172105390379503E-4	0.0382179403901273	350	0.2857142857142857	0.00872240762845451	0	NaN	NaN	7	1.0	0.0	1	1.0	0.0
0.0010	3170	0.21766561514195584	0.013135256230602826	4011	7.479431563201197E-4	0.04189780448698927	910	0.32857142857142857	0.007085103655436876	0	NaN	NaN	8	1.0	0.0	1	1.0	0.0
0.0020	5121	0.2927162663542277	0.010155207884501761	809	0.016069221260815822	0.02366604993457165	2153	0.2954017649790989	0.009122082318510479	0	NaN	NaN	14	1.0	0.0	3	1.0	0.0
0.0030	2732	0.31954612005856514	0.010869223605571103	223	0.0	0.03477144372032333	5120	0.39140625	0.006510636626333499	0	NaN	NaN	20	1.0	0.0	5	1.0	0.0
0.0040	1957	0.46142054164537555	0.004667726371325068	0	NaN	NaN	6114	0.33186130192999674	0.008103678200750204	0	NaN	NaN	23	1.0	0.0	6	1.0	0.0
0.0050	2005	0.37306733167082295	0.0060829712147616975	0	NaN	NaN	6066	0.3249258160237389	0.008069423252399023	0	NaN	NaN	21	1.0	0.0	8	1.0	0.0
0.0060	1812	0.4381898454746137	0.0061873604834814	0	NaN	NaN	6257	0.3452133610356401	0.007536801819392869	0	NaN	NaN	22	1.0	0.0	9	1.0	0.0
0.0070	2340	0.4307692307692308	0.00553162328933907	0	NaN	NaN	5731	0.3009945908218461	0.00853547591377814	0	NaN	NaN	18	1.0	0.0	11	1.0	0.0
0.0080	2095	0.3856801909307876	0.007006172884576616	0	NaN	NaN	5974	0.33495145631067963	0.00881668981810474	0	NaN	NaN	18	1.0	0.0	13	1.0	0.0
0.0090	2046	0.45894428152492667	0.005385989847967251	0	NaN	NaN	6022	0.3243108601793424	0.008127817517108463	0	NaN	NaN	18	1.0	0.0	14	1.0	0.0
0.01	2198	0.545950864422202	0.003685301758407159	0	NaN	NaN	5872	0.29291553133514986	0.00829194576409477	0	NaN	NaN	14	1.0	0.0	16	1.0	0.0
1.0E-4	708	0.1751412429378531	0.012894252510195884	7391	0.0	0.09005636199372512	0	NaN	NaN	0	NaN	NaN	1	1.0	0.0	0	NaN	NaN
2.0E-4	1135	0.307488986784141	0.009183032828118167	6963	0.0	0.073950278851793	0	NaN	NaN	0	NaN	NaN	2	1.0	0.0	0	NaN	NaN
3.0E-4	1842	0.250814332247557	0.011499960411820945	6255	0.0	0.06951943063194412	0	NaN	NaN	0	NaN	NaN	3	1.0	0.0	0	NaN	NaN
4.0E-4	2316	0.22279792746113988	0.011628184208233082	5780	0.0	0.06179933248617758	0	NaN	NaN	0	NaN	NaN	4	1.0	0.0	0	NaN	NaN
5.0E-4	2976	0.22278225806451613	0.012508312437812112	5095	0.0	0.051771841186308516	24	0.0	0.01985846705902478	0	NaN	NaN	4	1.0	0.0	1	1.0	0.0
6.0E-4	2718	0.2851361295069904	0.010686865710536468	5230	0.0028680688336520078	0.05703737286745843	147	0.061224489795918366	0.014027676395827747	0	NaN	NaN	4	1.0	0.0	1	1.0	0.0
7.0E-4	2795	0.2186046511627907	0.01275265060532496	5152	1.9409937888198756E-4	0.045406239232263244	147	0.5034013605442177	0.0022239911188054132	0	NaN	NaN	5	1.0	0.0	1	1.0	0.0
8.0E-4	3330	0.25135135135135134	0.010767987709159049	4460	2.242152466367713E-4	0.043053890062502355	303	0.36303630363036304	0.004032429862420204	0	NaN	NaN	6	1.0	0.0	1	1.0	0.0
9.0E-4	3354	0.19171138938580798	0.012568713854820609	4313	0.0	0.040836799790693684	425	0.4188235294117647	0.0061772483120692955	0	NaN	NaN	7	1.0	0.0	1	1.0	0.0
0.0010	3891	0.21716782318170136	0.012068672841574625	3668	2.726281352235551E-4	0.03957949257176666	532	0.3101503759398496	0.0074843832199183264	0	NaN	NaN	8	1.0	0.0	1	1.0	0.0
0.0020	5436	0.2706033848417954	0.010464220719234743	697	0.0	0.029999588121793676	1950	0.26256410256410256	0.009607481852357486	0	NaN	NaN	14	1.0	0.0	3	1.0	0.0
0.0030	2993	0.3053792181757434	0.008954044167908235	97	0.0	0.02776112291832804	4985	0.25376128385155466	0.010130505144661775	0	NaN	NaN	20	1.0	0.0	5	1.0	0.0
0.0040	1683	0.5228758169934641	0.004472097471691406	0	NaN	NaN	6385	0.31699295223179325	0.007746909087976184	0	NaN	NaN	26	1.0	0.0	6	1.0	0.0
0.0050	1552	0.47164948453608246	0.0070355221027144565	0	NaN	NaN	6517	0.30489489028694183	0.008888791337217107	0	NaN	NaN	23	1.0	0.0	8	1.0	0.0
0.0060	1637	0.4703726328649969	0.0049047969639538416	0	NaN	NaN	6432	0.30674751243781095	0.00859598892173863	0	NaN	NaN	22	1.0	0.0	9	1.0	0.0
0.0070	1483	0.4133513149022252	0.005391710267572344	0	NaN	NaN	6583	0.34786571471973265	0.007450281447098481	0	NaN	NaN	23	1.0	0.0	11	1.0	0.0
0.0080	1656	0.4758454106280193	0.004354913982696354	0	NaN	NaN	6412	0.3201809107922645	0.00835764804137788	0	NaN	NaN	19	1.0	0.0	13	1.0	0.0
0.0090	1590	0.43836477987421385	0.006680036235544579	0	NaN	NaN	6477	0.32468735525706344	0.008296056958192955	0	NaN	NaN	19	1.0	0.0	14	1.0	0.0
0.01	2340	0.3752136752136752	0.006073694202410682	0	NaN	NaN	5729	0.26339675336009777	0.010185205587937503	0	NaN	NaN	15	1.0	0.0	16	1.0	0.0
1.0E-4	708	0.1751412429378531	0.012894252510195884	7391	0.0	0.09005636199372512	0	NaN	NaN	0	NaN	NaN	1	1.0	0.0	0	NaN	NaN
2.0E-4	1135	0.307488986784141	0.009183032828118167	6963	0.0	0.073950278851793	0	NaN	NaN	0	NaN	NaN	2	1.0	0.0	0	NaN	NaN
3.0E-4	1842	0.250814332247557	0.011499960411820945	6255	0.0	0.06951943063194412	0	NaN	NaN	0	NaN	NaN	3	1.0	0.0	0	NaN	NaN
4.0E-4	2316	0.22279792746113988	0.011628184208233082	5780	0.0	0.06179933248617758	0	NaN	NaN	0	NaN	NaN	4	1.0	0.0	0	NaN	NaN
5.0E-4	2717	0.21641516378358483	0.013367601769496348	5226	0.0	0.06516204896034798	152	0.039473684210526314	0.014492254884211546	0	NaN	NaN	4	1.0	0.0	1	1.0	0.0
6.0E-4	2577	0.24718665114474195	0.01071886151645234	5464	0.0	0.055434340775663234	54	0.0	0.014051045601065546	0	NaN	NaN	4	1.0	0.0	1	1.0	0.0
7.0E-4	3029	0.23902277979531197	0.01051170190802975	5065	0.0	0.04447300550508267	0	NaN	NaN	0	NaN	NaN	5	1.0	0.0	1	1.0	0.0
8.0E-4	3234	0.24644403215831787	0.010724199118650319	4701	2.1272069772388852E-4	0.038966914928155696	158	0.46835443037974683	0.004004360856676623	0	NaN	NaN	6	1.0	0.0	1	1.0	0.0
